#         pdgid       name            stable      mass[GeV]      degeneracy      statistics      B      Q      S      C      |S|      |C|      width[GeV]      threshold[GeV]
           3112       Sigma-          1           1.18940        2               1               1     -1     -1      0      1        0        0.000000        0
           3212       Sigma0          0           1.18940        2               1               1      0     -1      0      1        0        8.9e-06         0
           3222       Sigma+          1           1.18940        2               1               1      1     -1      0      1        0        0.000000        0
           3114       Sigma(1385)-    0           1.38500        4               1               1     -1     -1      0      1        0        0.036000        0
           3214       Sigma(1385)0    0           1.38500        4               1               1      0     -1      0      1        0        0.036000        0
           3224       Sigma(1385)+    0           1.38500        4               1               1      1     -1      0      1        0        0.036000        0
        9833114       Sigma(1580)-    0           1.58000        4               1               1     -1     -1      0      1        0        0.013000        0
        9833214       Sigma(1580)0    0           1.58000        4               1               1      0     -1      0      1        0        0.013000        0
        9833224       Sigma(1580)+    0           1.58000        4               1               1      1     -1      0      1        0        0.013000        0
        9833112       Sigma(1620)-    0           1.62000        2               1               1     -1     -1      0      1        0        0.070000        0
        9833212       Sigma(1620)0    0           1.62000        2               1               1      0     -1      0      1        0        0.070000        0
        9833222       Sigma(1620)+    0           1.62000        2               1               1      1     -1      0      1        0        0.070000        0
          13112       Sigma(1660)-    0           1.66000        2               1               1     -1     -1      0      1        0        0.200000        0
          13212       Sigma(1660)0    0           1.66000        2               1               1      0     -1      0      1        0        0.200000        0
          13222       Sigma(1660)+    0           1.66000        2               1               1      1     -1      0      1        0        0.200000        0
          13114       Sigma(1670)-    0           1.67500        4               1               1     -1     -1      0      1        0        0.070000        0
          13214       Sigma(1670)0    0           1.67500        4               1               1      0     -1      0      1        0        0.070000        0
          13224       Sigma(1670)+    0           1.67500        4               1               1      1     -1      0      1        0        0.070000        0
          23112       Sigma(1750)-    0           1.75000        2               1               1     -1     -1      0      1        0        0.150000        0
          23212       Sigma(1750)0    0           1.75000        2               1               1      0     -1      0      1        0        0.150000        0
          23222       Sigma(1750)+    0           1.75000        2               1               1      1     -1      0      1        0        0.150000        0
           3116       Sigma(1775)-    0           1.77500        6               1               1     -1     -1      0      1        0        0.120000        0
           3216       Sigma(1775)0    0           1.77500        6               1               1      0     -1      0      1        0        0.120000        0
           3226       Sigma(1775)+    0           1.77500        6               1               1      1     -1      0      1        0        0.120000        0
        9843114       Sigma(1780)-    0           1.78000        4               1               1     -1     -1      0      1        0        0.200000        0
        9843214       Sigma(1780)0    0           1.78000        4               1               1      0     -1      0      1        0        0.200000        0
        9843224       Sigma(1780)+    0           1.78000        4               1               1      1     -1      0      1        0        0.200000        0
        9843112       Sigma(1880)-    0           1.88000        2               1               1     -1     -1      0      1        0        0.200000        0
        9843212       Sigma(1880)0    0           1.88000        2               1               1      0     -1      0      1        0        0.200000        0
        9843222       Sigma(1880)+    0           1.88000        2               1               1      1     -1      0      1        0        0.200000        0
          23114       Sigma(1910)-    0           1.91000        4               1               1     -1     -1      0      1        0        0.220000        0
          23214       Sigma(1910)0    0           1.91000        4               1               1      0     -1      0      1        0        0.220000        0
          23224       Sigma(1910)+    0           1.91000        4               1               1      1     -1      0      1        0        0.220000        0
          13116       Sigma(1915)-    0           1.91500        6               1               1     -1     -1      0      1        0        0.120000        0
          13216       Sigma(1915)0    0           1.91500        6               1               1      0     -1      0      1        0        0.120000        0
          13226       Sigma(1915)+    0           1.91500        6               1               1      1     -1      0      1        0        0.120000        0
        9853112       Sigma(1900)-    0           1.92500        2               1               1     -1     -1      0      1        0        0.165000        0
        9853212       Sigma(1900)0    0           1.92500        2               1               1      0     -1      0      1        0        0.165000        0
        9853222       Sigma(1900)+    0           1.92500        2               1               1      1     -1      0      1        0        0.165000        0
        9853114       Sigma(1940)-    0           1.94000        4               1               1     -1     -1      0      1        0        0.250000        0
        9853214       Sigma(1940)0    0           1.94000        4               1               1      0     -1      0      1        0        0.250000        0
        9853224       Sigma(1940)+    0           1.94000        4               1               1      1     -1      0      1        0        0.250000        0
        9863114       Sigma(2010)-    0           2.00500        4               1               1     -1     -1      0      1        0        0.178000        0
        9863214       Sigma(2010)0    0           2.00500        4               1               1      0     -1      0      1        0        0.178000        0
        9863224       Sigma(2010)+    0           2.00500        4               1               1      1     -1      0      1        0        0.178000        0
           3118       Sigma(2030)-    0           2.03000        8               1               1     -1     -1      0      1        0        0.180000        0
           3218       Sigma(2030)0    0           2.03000        8               1               1      0     -1      0      1        0        0.180000        0
           3228       Sigma(2030)+    0           2.03000        8               1               1      1     -1      0      1        0        0.180000        0
        9823116       Sigma(2070)-    0           2.06000        6               1               1     -1     -1      0      1        0        0.200000        0
        9823216       Sigma(2070)0    0           2.06000        6               1               1      0     -1      0      1        0        0.200000        0
        9823226       Sigma(2070)+    0           2.06000        6               1               1      1     -1      0      1        0        0.200000        0
        9873114       Sigma(2080)-    0           2.09000        4               1               1     -1     -1      0      1        0        0.170000        0
        9873214       Sigma(2080)0    0           2.09000        4               1               1      0     -1      0      1        0        0.170000        0
        9873224       Sigma(2080)+    0           2.09000        4               1               1      1     -1      0      1        0        0.170000        0
        9813118       Sigma(2100)-    0           2.10000        8               1               1     -1     -1      0      1        0        0.232000        0
        9813218       Sigma(2100)0    0           2.10000        8               1               1      0     -1      0      1        0        0.232000        0
        9813228       Sigma(2100)+    0           2.10000        8               1               1      1     -1      0      1        0        0.232000        0
        9863112       Sigma(2110)-    0           2.10500        2               1               1     -1     -1      0      1        0        0.313000        0
        9863212       Sigma(2110)0    0           2.10500        2               1               1      0     -1      0      1        0        0.313000        0
        9863222       Sigma(2110)+    0           2.10500        2               1               1      1     -1      0      1        0        0.313000        0
        9883114       Sigma(2230)-    0           2.24000        4               1               1     -1     -1      0      1        0        0.345000        0
        9883214       Sigma(2230)0    0           2.24000        4               1               1      0     -1      0      1        0        0.345000        0
        9883224       Sigma(2230)+    0           2.24000        4               1               1      1     -1      0      1        0        0.345000        0
        9833116       Sigma(2250)-    0           2.25000        6               1               1     -1     -1      0      1        0        0.100000        0
        9833216       Sigma(2250)0    0           2.25000        6               1               1      0     -1      0      1        0        0.100000        0
        9833226       Sigma(2250)+    0           2.25000        6               1               1      1     -1      0      1        0        0.100000        0
        9893114       Sigma(2455)-    0           2.45500        4               1               1     -1     -1      0      1        0        0.120000        0
        9893214       Sigma(2455)0    0           2.45500        4               1               1      0     -1      0      1        0        0.120000        0
        9893224       Sigma(2455)+    0           2.45500        4               1               1      1     -1      0      1        0        0.120000        0
        9843116       Sigma(2620)-    0           2.62000        6               1               1     -1     -1      0      1        0        0.200000        0
        9843216       Sigma(2620)0    0           2.62000        6               1               1      0     -1      0      1        0        0.200000        0
        9843226       Sigma(2620)+    0           2.62000        6               1               1      1     -1      0      1        0        0.200000        0
        9823118       Sigma(3170)-    0           3.17000        8               1               1     -1     -1      0      1        0        0.015000        0
        9823218       Sigma(3170)0    0           3.17000        8               1               1      0     -1      0      1        0        0.015000        0
        9823228       Sigma(3170)+    0           3.17000        8               1               1      1     -1      0      1        0        0.015000        0
           3312       Ksi-            1           1.31800        2               1               1     -1     -2      0      2        0        0.000000        0
           3322       Ksi0            1           1.31800        2               1               1      0     -2      0      2        0        0.000000        0
           3314       Ksi(1530)-      0           1.53350        4               1               1     -1     -2      0      2        0        0.009500        0
           3324       Ksi(1530)0      0           1.53350        4               1               1      0     -2      0      2        0        0.009500        0
        9823314       Ksi(1620)-      0           1.62000        4               1               1     -1     -2      0      2        0        0.030000        0
        9823324       Ksi(1620)0      0           1.62000        4               1               1      0     -2      0      2        0        0.030000        0
         203312       Ksi(1690)-      0           1.69000        2               1               1     -1     -2      0      2        0        0.010000        0
         203322       Ksi(1690)0      0           1.69000        2               1               1      0     -2      0      2        0        0.010000        0
          13314       Ksi(1820)-      0           1.82300        4               1               1     -1     -2      0      2        0        0.024000        0
          13324       Ksi(1820)0      0           1.82300        4               1               1      0     -2      0      2        0        0.024000        0
         103316       Ksi(1950)-      0           1.95000        6               1               1     -1     -2      0      2        0        0.060000        0
         103326       Ksi(1950)0      0           1.95000        6               1               1      0     -2      0      2        0        0.060000        0
         203316       Ksi(2030)-      0           2.02500        6               1               1     -1     -2      0      2        0        0.020000        0
         203326       Ksi(2030)0      0           2.02500        6               1               1      0     -2      0      2        0        0.020000        0
        9803318       Ksi(2120)-      0           2.12000        8               1               1     -1     -2      0      2        0        0.020000        0
        9803328       Ksi(2120)0      0           2.12000        8               1               1      0     -2      0      2        0        0.020000        0
        9903318       Ksi(2250)-      0           2.25000        10              1               1     -1     -2      0      2        0        0.088000        0
        9903328       Ksi(2250)0      0           2.25000        10              1               1      0     -2      0      2        0        0.088000        0
        9913318       Ksi(2370)-      0           2.37000        10              1               1     -1     -2      0      2        0        0.080000        0
        9913328       Ksi(2370)0      0           2.37000        10              1               1      0     -2      0      2        0        0.080000        0
        9923318       Ksi(2500)-      0           2.50000        12              1               1     -1     -2      0      2        0        0.100000        0
        9923328       Ksi(2500)0      0           2.50000        12              1               1      0     -2      0      2        0        0.100000        0
           3334       Omega           1           1.67245        4               1               1     -1     -3      0      3        0        0.000000        0
        9813334       Omega(2012)     0           2.01240        4               1               1     -1     -3      0      3        0        0.006400        0
         203338       Omega(2250)     0           2.25200        8               1               1     -1     -3      0      3        0        0.055000        0
        9803336       Omega(2380)     0           2.38400        6               1               1     -1     -3      0      3        0        0.026000        0
        9903338       Omega(2470)     0           2.47400        12              1               1     -1     -3      0      3        0        0.072000        0
